FECHA ,ID LOCAL ,NOMBRE LOCAL,COMUNA ,LOCALIDAD ,DIRECCION ,HORA APERTURA ,HORA CIERRE ,TELEFONO ,LATITUD ,LONGITUD ,DIA FUNCIONAMIENTO ,FK REGION ,FK COMUNA ,FK LOCALIDAD 
"06-08-21","1","CRUZ VERDE ","QUILLOTA","QUILLOTA","OHIGGINS 195, LOCAL 1","08:30:00","18:30:00","+5633332269467","-32.8793428949969","-71.2467871500868","viernes","6","69","32"
"06-08-21","2","CRUZ VERDE","LA CALERA","LA CALERA","J.J. PEREZ 202","08:30:00","18:30:00","+56332724714","-32.788066282624","-71.1897310126255","viernes","6","56","12"
"06-08-21","3","CRUZ VERDE","LIMACHE","LIMACHE","URMENETA 99","08:30:00","18:30:00","+56332415940","-32.9849921792696","-71.2757177058683","viernes","6","59","17"
"06-08-21","4","CRUZ VERDE","LIMACHE","LIMACHE","REPUBLICA 281","08:30:00","18:30:00","+56332418343","-33.0025007197382","-71.2654977848501","viernes","6","59","17"
"06-08-21","5","AHUMADA","LA CALERA","LA CALERA","J J PEREZ 199","09:00:00","18:00:00","+563326316573","-32.7882065329844","-71.189446195146","viernes","6","56","12"
"06-08-21","8","AHUMADA","LA CALERA","LA CALERA","PROLONGACION JJ. PEREZ 12010","09:00:00","19:00:00","+56026313722","-32.7908926027982","-71.1920957384256","viernes","6","56","12"
"06-08-21","9","AHUMADA","QUILLOTA","QUILLOTA","AV. 21 DE MAYO 311","08:30:00","19:00:00","+5633314997","-32.8743896181991","-71.2419067293266","viernes","6","69","32"
"06-08-21","10","AHUMADA","QUILLOTA","QUILLOTA","O`HIGGINS 114-116","09:00:00","19:00:00","+5633232740626","-32.8785857529787","-71.2467680389193","viernes","6","69","32"
"06-08-21","11","SALCOBRAND","LA CALERA","LA CALERA","J.J. PEREZ 205","09:00:00","19:30:00","+56332225450","-32.7880523605412","-71.1894957968335","viernes","6","56","12"
"06-08-21","13","SALCOBRAND","QUILLOTA","QUILLOTA","CHACABUCO 299","09:00:00","19:00:00","+56332269530","-32.8783291577425","-71.2464943929409","viernes","6","69","32"
"06-08-21","14","KNOP","QUILLOTA","QUILLOTA","CHACABUCO 225","09:00:00","19:00:00","+56332315136","-32.8781586740176","-71.2459450658586","viernes","6","69","32"
"06-08-21","15","KNOP","LA CALERA","LA CALERA","J.J. PEREZ 247","10:00:00","21:00:00","+56332229081","-32.7876998783928","-71.1895405374846","viernes","6","56","12"
"06-08-21","17","CRUZ VERDE","QUILLOTA","QUILLOTA","CHACABUCO 281","09:00:00","21:00:00","+56332319578","-32.878335491624","-71.246141889165","viernes","6","69","32"
"06-08-21","20","SALCOBRAND","LIMACHE","LIMACHE","URMENETA 68","09:00:00","21:00:00","+560224223300 anexo 5300","-32.9851431062104","-71.2763421550883","viernes","6","59","17"
"06-08-21","21","DR. SIMI","LA CALERA","LA CALERA","CARRERA 580","09:00:00","20:00:00","+56332342337","-32.7872136780971","-71.1894965921182","viernes","6","56","12"
"06-08-21","22","HOSPITAL 1","LA CALERA","LA CALERA","CARRERA N° 737","10:30:00","21:30:00","+56332221194","-32.7872809066268","-71.1913238392171","viernes","6","56","12"
"06-08-21","23","SAN NICOLAS","LA CALERA","LA CALERA","J.J. PEREZ N° 396","09:00:00","21:00:00","+56332229552","-32.7862582411004","-71.189985617592","viernes","6","56","12"
"06-08-21","24","TAMANACO","LA CALERA","LA CALERA","ALDUNATE 222","09:30:00","21:30:00","+56332222201","-32.7881186052151","-71.1908639639646","viernes","6","56","12"
"06-08-21","25","LA CRUZ","LA CRUZ","LA CRUZ","21 DE MAYO N° 5481","09:00:00","21:00:00","+56332254902","-32.8252324978247","-71.2268391982971","viernes","6","57","13"
"06-08-21","26","ECOFARMACIAS","LIMACHE","LIMACHE","URMENETA 84","09:00:00","21:00:00","+56332342303","-32.9852455678978","-71.2761628933035","viernes","6","59","17"
"06-08-21","27","CRUZ VERDE","LIMACHE","LIMACHE","URMENETA 96","08:30:00","18:15:00","+56332414551","-32.9853313679932","-71.2759083062112","viernes","6","59","17"
"06-08-21","28","DR. SIMI","LIMACHE","LIMACHE","PRAT 200","09:00:00","20:00:00","+56322419182","-32.9842867294722","-71.2773152151847","viernes","6","59","17"
"06-08-21","29","ECOFARMACIAS","QUILLOTA","QUILLOTA","O´HIGGINS 176, LB2","09:00:00","17:30:00","+56332342235","-32.878874763974","-71.2467432732965","viernes","6","69","32"
"06-08-21","30","SAN IGNACIO","QUILLOTA","QUILLOTA","LA CONCEPCION N° 990","10:30:00","22:00:00","+56332319407","-32.8800607332315","-71.2564983497229","viernes","6","69","32"
"06-08-21","31","DR. SIMI","QUILLOTA","QUILLOTA","O´HIGGINS 186","09:00:00","21:00:00","+56332258396","-32.8790642414584","-71.2467373690042","viernes","6","69","32"
"06-08-21","32","ITALIA","QUILLOTA","QUILLOTA","FREIRE N° 57","09:00:00","18:00:00","+56332310178","-32.8777193144105","-71.2453034649053","viernes","6","69","32"
"06-08-21","33","CAPREDENA","LIMACHE","LIMACHE","URMENETA 855","08:30:00","17:30:00","+563322830661","-32.989559","-71.265662","viernes","6","59","17"
"06-08-21","36","SALCOBRAND","LA CALERA","LA CALERA","J.J. PEREZ 152","09:00:00","20:00:00","+56332228236","-32.7886912401306","-71.1895755139754","viernes","6","56","12"
"06-08-21","37","SALCOBRAND","LA CRUZ","LA CRUZ","21 DE MAYO 5628, LOCAL 1, LA CRUZ","10:00:00","18:00:00","+56332320677","-32.8235326035501","-71.2260811844591","viernes","6","57","13"
"06-08-21","39","CRUZ VERDE","LIMACHE","LIMACHE","PALMIRA ROMANO 405","08:30:00","18:30:00","+56332414665","-33.0021934734243","-71.2680155185573","viernes","6","59","17"
"06-08-21","40","FARMACIA EL MELON","NOGALES","EL MELON","ISABEL BROWN N° 123","12:00:00","21:00:00","+5633034 - 2591629","-32.6892394828406","-71.2148068285658","viernes","6","62","435"
"06-08-21","43","AHUMADA","QUILPUE","QUILPUE","DIEGO PORTALES N° 802","08:30:00","20:00:00","+563219","-33.0469493869154","-71.4416812900202","viernes","6","70","33"
"06-08-21","44","AHUMADA","QUILPUE","QUILPUE","AV.FREIRE N° 2414  LOCAL 1082","08:30:00","19:00:00","+56650226316549","-33.0452029096277","-71.420263192104","viernes","6","70","33"
"06-08-21","46","CRUZ VERDE","QUILPUE","QUILPUE","LOS CARRERA N° 721 L- 9","08:30:00","19:00:00","+56322913124","-33.0480884691307","-71.4429118882056","viernes","6","70","33"
